timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663313398547,319,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,318,0,0
1663313398621,285,ReadNotes,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-7",text,true,,1104,1876,10,10,https://staging.sproutabout.com/service/graphql,285,0,0
1663313398613,307,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1334,2648,10,10,https://staging.sproutabout.com/service/graphql,307,0,0
1663313398643,306,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,306,0,0
1663313398681,305,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,305,0,0
1663313398703,299,GraphQL-CreatePost Sleep Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1357,2458,10,10,https://staging.sproutabout.com/service/graphql,299,0,0
1663313398817,303,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1334,2776,10,10,https://staging.sproutabout.com/service/graphql,303,0,0
1663313398805,371,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,370,0,0
1663313398907,285,GraphQL - Find One Child Attendance,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-7",text,true,,958,1885,10,10,https://staging.sproutabout.com/service/graphql,285,0,0
1663313398912,309,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1335,2648,10,10,https://staging.sproutabout.com/service/graphql,309,0,0
1663313398958,305,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1333,2776,10,10,https://staging.sproutabout.com/service/graphql,305,0,0
1663313398951,332,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1335,2648,10,10,https://staging.sproutabout.com/service/graphql,332,0,0
1663313398996,312,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1334,2648,10,10,https://staging.sproutabout.com/service/graphql,312,0,0
1663313399030,309,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1334,2648,10,10,https://staging.sproutabout.com/service/graphql,309,0,0
1663313399025,334,GraphQL-CreatePost  Video Update,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1335,2648,10,10,https://staging.sproutabout.com/service/graphql,334,0,0
1663313399004,360,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1334,2776,10,10,https://staging.sproutabout.com/service/graphql,359,0,0
1663313399215,311,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,311,0,0
1663313399259,308,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1333,2776,10,10,https://staging.sproutabout.com/service/graphql,308,0,0
1663313399306,323,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1335,2776,10,10,https://staging.sproutabout.com/service/graphql,323,0,0
1663313399327,317,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1333,2776,10,10,https://staging.sproutabout.com/service/graphql,317,0,0
1663313399194,478,GraphQL - Check In Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-7",text,true,,1414,1991,10,10,https://staging.sproutabout.com/service/graphql,478,0,0
1663313399376,339,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,1335,2776,10,10,https://staging.sproutabout.com/service/graphql,339,0,0
1663313399404,342,GraphQL-CreatePost  upload image,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1333,2776,10,10,https://staging.sproutabout.com/service/graphql,342,0,0
1663313399120,737,GraphQL - Check Out Child,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1519,1953,10,10,https://staging.sproutabout.com/service/graphql,737,0,0
1663313399559,302,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,302,0,0
